sepal_length,sepal_width,petal_length,petal_width,predict_result,predict_proba
5.6,2.9,3.6,1.3,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
6.7,3.1,4.4,1.4,versicolor,"[0.0003225806451612903, 0.978209427071433, 0.021467992283405728]"
5.6,3.0,4.5,1.5,versicolor,"[0.0027468230694037143, 0.9874967833932721, 0.009756393537324222]"
5.8,2.7,4.1,1.0,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
6.2,2.2,4.5,1.5,versicolor,"[0.0027468230694037143, 0.9421752753684826, 0.055077901562113674]"
5.6,2.5,3.9,1.1,versicolor,"[0.0027468230694037143, 0.981901545298034, 0.015351631632562321]"
5.9,3.2,4.8,1.8,versicolor,"[0.0015151515151515152, 0.6633164371547993, 0.33516841133004927]"
6.1,2.8,4.0,1.3,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
6.3,2.5,4.9,1.5,versicolor,"[0.0015151515151515152, 0.8396791938637804, 0.15880565462106805]"
6.1,2.8,4.7,1.2,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
6.4,2.9,4.3,1.3,versicolor,"[0.0018377321603128055, 0.9812397301017362, 0.01692253773795118]"
6.6,3.0,4.4,1.4,versicolor,"[0.0018377321603128055, 0.9766942755562816, 0.021467992283405728]"
6.8,2.8,4.8,1.4,versicolor,"[0.0003225806451612903, 0.9727548816168876, 0.026922537737951186]"
6.7,3.0,5.0,1.7,virginica,"[0.0, 0.17703787878787877, 0.8229621212121212]"
6.0,2.9,4.5,1.5,versicolor,"[0.0027468230694037143, 0.9874967833932721, 0.009756393537324222]"
5.7,2.6,3.5,1.0,versicolor,"[0.0027468230694037143, 0.9895801167266053, 0.007673060203990889]"
5.5,2.4,3.8,1.1,versicolor,"[0.012746823069403715, 0.971901545298034, 0.015351631632562321]"
5.5,2.4,3.7,1.0,versicolor,"[0.012746823069403715, 0.971901545298034, 0.015351631632562321]"
5.8,2.7,3.9,1.2,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
6.0,2.7,5.1,1.6,virginica,"[0.0009090909090909091, 0.2722185353492426, 0.7268723737416666]"
5.4,3.0,4.5,1.5,versicolor,"[0.06, 0.8916007493198186, 0.04839925068018136]"
6.0,3.4,4.5,1.6,versicolor,"[0.017424242424242422, 0.9046064010754704, 0.07796935650028719]"
6.7,3.1,4.7,1.5,versicolor,"[0.0003225806451612903, 0.9744594270714331, 0.025217992283405728]"
6.3,2.3,4.4,1.3,versicolor,"[0.0018377321603128055, 0.9668566132186192, 0.03130565462106807]"
5.6,3.0,4.1,1.3,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
5.5,2.5,4.0,1.3,versicolor,"[0.012746823069403715, 0.971901545298034, 0.015351631632562321]"
5.5,2.6,4.4,1.2,versicolor,"[0.012746823069403715, 0.9795801167266053, 0.007673060203990889]"
6.1,3.0,4.6,1.4,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
5.8,2.6,4.0,1.2,versicolor,"[0.0027468230694037143, 0.9895801167266053, 0.007673060203990889]"
5.0,2.3,3.3,1.0,versicolor,"[0.04, 0.8989706275036502, 0.06102937249634968]"
5.6,2.7,4.2,1.3,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
5.7,3.0,4.2,1.2,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
5.7,2.9,4.2,1.3,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
6.2,2.9,4.3,1.3,versicolor,"[0.0027468230694037143, 0.9845312661518928, 0.012721910778703535]"
5.1,2.5,3.0,1.1,versicolor,"[0.04, 0.9464706275036502, 0.013529372496349694]"
5.7,2.8,4.1,1.3,versicolor,"[0.0027468230694037143, 0.991246783393272, 0.006006393537324222]"
